,m.res.1x2,m.res.bts,m.ss.ch.nm,m.ss.yi,m.ta,m.th,m.odds.f.1x2.f.c,m.odds.f.1x2.f.v.avg,m.odds.f.1x2.m.c,m.odds.f.1x2.m.v.avg,m.odds.f.1x2.u.c,m.odds.f.1x2.u.v.avg,m.odds.f.bts.f.c,m.odds.f.bts.f.v.avg,m.odds.f.bts.u.c,m.odds.f.bts.u.v.avg,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med
23501,h,y,Portugal A,2016,Ferreira,Sporting,h,1.1996,d,6.2062,a,14.26,n,1.5626,y,2.3084,0.7799,0.1526,0.0635
23502,h,n,Portugal A,2016,Chaves,Tondela,a,2.555,h,2.8677,d,3.065,n,1.7695,y,1.9795,0.3262,0.3043,0.3681
23503,a,n,Italy A,2015,Bologna,Udinese,h,2.0073,d,3.1912,a,4.1308,n,1.768,y,1.9647,0.4752,0.2979,0.2245
23504,a,n,Portugal A,2016,Belenenses,Boavista,h,2.3223,d,2.9792,a,3.325,n,1.6347,y,2.1805,0.4049,0.3149,0.2805
23505,h,n,Portugal A,2016,Nacional,Chaves,h,1.8146,d,3.3077,a,4.6623,n,1.6568,y,2.1484,0.5171,0.2824,0.2038
23506,d,y,Italy A,2015,Sassuolo,Chievo,a,2.4088,d,3.0104,h,3.2742,n,1.7686,y,1.975,0.2846,0.3155,0.3991
23507,a,y,Portugal A,2016,Setubal,Belenenses,h,2.2265,d,2.9565,a,3.5862,n,1.6747,y,2.1142,0.4181,0.3192,0.2603
23508,h,n,Portugal A,2016,Tondela,Benfica,h,1.1246,d,8.2269,a,18.5335,n,1.6661,y,2.1244,0.8259,0.1169,0.0508
23509,a,y,Italy A,2015,Frosinone,Empoli,h,1.4844,d,4.2208,a,7.0708,y,1.8414,n,1.8907,0.6422,0.22399999999999998,0.1346
23510,a,y,Portugal A,2016,Guimaraes,Braga,h,1.9815,d,3.3131,a,3.8638,y,1.8458,n,1.8974,0.4719,0.2834,0.243
23511,h,n,Portugal A,2016,Estoril,Feirense,h,2.1912,d,3.0973,a,3.4846,n,1.69,y,2.0878,0.4272,0.3021,0.2662
23512,h,n,Italy A,2015,Napoli,Juventus,h,2.1628,d,3.0548,a,3.8344,n,1.696,y,2.07,0.4391,0.313,0.2504
23513,a,y,Portugal A,2016,Boavista,Arouca,h,2.3769,d,2.9592,a,3.2296,n,1.6953,y,2.0763,0.396,0.3156,0.2902
23514,h,y,Portugal A,2016,Rio Ave,FC Porto,h,1.2177,d,5.78,a,14.2973,n,1.5132,y,2.4537,0.7664,0.1636,0.0649
23515,d,y,Portugal A,2016,Sporting,Maritimo,a,1.685,d,3.5862,h,5.1373,n,1.8042,y,1.9368,0.1818,0.2597,0.5569
23516,a,y,Italy A,2015,AS Roma,Carpi,a,1.8854,d,3.4227,h,4.3646,n,1.7907,y,1.9380000000000002,0.2188,0.2779,0.5036
23517,a,n,Portugal A,2016,Moreirense,Ferreira,h,2.5008,d,2.9246,a,3.0723,n,1.6989,y,2.0732,0.374,0.3212,0.3034
23518,h,y,Italy A,2015,Verona,Lazio,h,1.4335,d,4.4296,a,7.8508,n,1.732,y,2.0047,0.667,0.2131,0.1195
23519,h,n,Portugal A,2016,Tondela,Braga,h,1.3862,d,4.4181,a,8.5085,n,1.7105,y,2.0621,0.6711,0.2142,0.1141
23520,h,n,Portugal A,2016,Rio Ave,Belenenses,a,2.64,h,2.8746,d,2.9588,n,1.7558,y,1.9932,0.3242,0.3177,0.3573
23521,d,y,Italy A,2015,Udinese,AC Milan,h,1.5265,d,4.0662,a,6.6504,n,1.7867,y,1.942,0.6233,0.2339,0.1422
23522,h,n,Portugal A,2016,Moreirense,FC Porto,h,1.1804,d,6.5235,a,15.5054,n,1.6021,y,2.2468,0.7913,0.146,0.0605
23523,h,y,Portugal A,2016,Ferreira,Maritimo,h,2.1962,d,3.1431,a,3.4219,n,1.7995,y,1.94,0.4243,0.2979,0.2763
23524,h,y,Italy A,2015,Sampdoria,AS Roma,h,1.5181,d,4.0769,a,6.7385,n,1.8519999999999999,y,1.8753,0.6269,0.2335,0.1387
23525,d,y,Portugal A,2016,Boavista,Benfica,h,1.1769,d,6.6465,a,15.9154,n,1.5333,y,2.3878,0.7949,0.1423,0.0574
23526,d,y,Portugal A,2016,Sporting,Chaves,a,1.6092,d,3.6012,h,5.9469,n,1.6589,y,2.1442,0.1572,0.2595,0.5802
